Duration,Start date,Start terminal,End terminal,Subscription Type
0h 30m 40s,7/1/2014 0:26,31222,31249,Casual
0h 30m 40s,7/1/2014 0:26,31222,31249,Casual
0h 5m 31s,7/1/2014 0:29,31267,31251,Registered
0h 19m 1s,7/1/2014 0:29,31201,31116,Registered
0h 5m 34s,7/1/2014 0:30,31239,31223,Registered
0h 14m 24s,7/1/2014 0:31,31237,31202,Registered
0h 14m 7s,7/1/2014 0:31,31249,31258,Casual
0h 12m 54s,7/1/2014 0:32,31249,31258,Casual
0h 4m 23s,7/1/2014 0:33,31022,31065,Registered
0h 10m 55s,7/1/2014 0:34,31506,31229,Registered
0h 10m 5s,7/1/2014 0:36,31228,31268,Registered
0h 12m 3s,7/1/2014 0:38,31239,31603,Registered
0h 13m 51s,7/1/2014 0:40,31121,31300,Registered
0h 50m 49s,7/1/2014 0:40,31206,31206,Casual
0h 12m 17s,7/1/2014 0:41,31232,31201,Registered
0h 11m 46s,7/1/2014 0:41,31232,31201,Registered
0h 7m 54s,7/1/2014 0:45,31703,31710,Registered
0h 6m 6s,7/1/2014 0:45,31229,31104,Registered
1h 26m 35s,7/1/2014 0:46,31224,31258,Casual
1h 7m 2s,7/1/2014 0:46,31224,31258,Casual
1h 26m 45s,7/1/2014 0:46,31224,31258,Casual
1h 6m 3s,7/1/2014 0:46,31224,31258,Casual
0h 4m 45s,7/1/2014 0:48,31121,31110,Registered
0h 7m 34s,7/1/2014 0:48,31213,31237,Registered
1h 21m 33s,7/1/2014 0:51,31224,31258,Casual
0h 9m 32s,7/1/2014 0:53,31400,31402,Registered
0h 5m 38s,7/1/2014 0:55,31234,31229,Registered
0h 20m 3s,7/1/2014 0:58,31013,31076,Registered
1h 39m 0s,7/1/2014 1:05,31101,31213,Casual
1h 38m 27s,7/1/2014 1:05,31101,31213,Casual
0h 8m 15s,7/1/2014 1:06,31102,31506,Registered
0h 2m 14s,7/1/2014 1:08,31114,31229,Registered
0h 7m 34s,7/1/2014 1:09,31216,31201,Casual
0h 3m 50s,7/1/2014 1:10,31104,31117,Registered
0h 8m 51s,7/1/2014 1:16,31623,31628,Registered
0h 6m 57s,7/1/2014 1:19,31214,31119,Registered
0h 7m 7s,7/1/2014 1:28,31236,31015,Registered
0h 21m 38s,7/1/2014 1:32,31233,31617,Registered
0h 22m 50s,7/1/2014 1:36,31249,31258,Casual
0h 22m 56s,7/1/2014 1:37,31249,31258,Casual
0h 5m 13s,7/1/2014 1:38,31102,31103,Registered
0h 10m 10s,7/1/2014 1:49,31114,31227,Registered
0h 2m 56s,7/1/2014 1:53,31102,31602,Registered
0h 11m 0s,7/1/2014 1:56,31101,31506,Registered
0h 18m 5s,7/1/2014 1:57,31113,31509,Casual
0h 16m 27s,7/1/2014 1:58,31113,31509,Casual
0h 14m 58s,7/1/2014 1:59,31604,31615,Registered
0h 9m 39s,7/1/2014 2:01,31102,31214,Registered
0h 7m 33s,7/1/2014 2:06,31114,31107,Registered
1h 16m 17s,7/1/2014 2:10,31236,31236,Registered
0h 18m 2s,7/1/2014 2:10,31227,31608,Registered
0h 6m 57s,7/1/2014 2:13,31400,31405,Registered
0h 8m 9s,7/1/2014 2:14,31203,31116,Registered
0h 34m 37s,7/1/2014 2:51,31266,32014,Registered
0h 12m 1s,7/1/2014 2:52,31233,31604,Registered
0h 6m 34s,7/1/2014 3:06,31107,31400,Registered
0h 3m 13s,7/1/2014 3:09,31223,31245,Registered
0h 20m 35s,7/1/2014 3:59,31108,31257,Registered
0h 1m 39s,7/1/2014 4:25,31203,31201,Casual
0h 4m 26s,7/1/2014 4:29,31636,31505,Registered
0h 11m 31s,7/1/2014 4:53,31010,31006,Registered
0h 12m 30s,7/1/2014 4:54,31266,31507,Registered
0h 2m 44s,7/1/2014 4:55,31604,31624,Registered
0h 5m 12s,7/1/2014 4:59,31214,31224,Registered
0h 7m 3s,7/1/2014 4:59,31618,31208,Registered
0h 22m 8s,7/1/2014 5:04,31630,31224,Registered
0h 34m 30s,7/1/2014 5:06,31008,31243,Registered
0h 3m 10s,7/1/2014 5:06,31616,31623,Registered
0h 36m 4s,7/1/2014 5:09,31306,31408,Registered
0h 2m 55s,7/1/2014 5:13,31108,31244,Registered
0h 2m 46s,7/1/2014 5:15,32037,32045,Registered
0h 11m 49s,7/1/2014 5:18,31102,31200,Registered
0h 29m 44s,7/1/2014 5:18,31052,31230,Registered
0h 13m 21s,7/1/2014 5:18,31506,31201,Registered
0h 4m 49s,7/1/2014 5:19,31603,31624,Registered
0h 17m 19s,7/1/2014 5:21,31600,31246,Casual
0h 22m 21s,7/1/2014 5:22,31708,31213,Registered
0h 7m 53s,7/1/2014 5:23,31053,31074,Registered
0h 6m 40s,7/1/2014 5:23,31222,31600,Registered
0h 3m 8s,7/1/2014 5:23,31218,31217,Registered
0h 24m 20s,7/1/2014 5:26,31707,31504,Registered
0h 9m 30s,7/1/2014 5:26,31110,31204,Registered
0h 5m 13s,7/1/2014 5:28,31117,31121,Registered
0h 6m 34s,7/1/2014 5:28,31623,31219,Registered
0h 16m 58s,7/1/2014 5:29,31624,31233,Registered
0h 10m 21s,7/1/2014 5:29,31623,31634,Registered
0h 11m 1s,7/1/2014 5:30,31623,31217,Registered
0h 28m 12s,7/1/2014 5:30,31510,31272,Registered
0h 5m 55s,7/1/2014 5:30,31512,31627,Registered
0h 7m 40s,7/1/2014 5:31,31509,31201,Registered
0h 7m 31s,7/1/2014 5:32,31104,31201,Registered
0h 7m 7s,7/1/2014 5:32,31509,31624,Registered
0h 10m 32s,7/1/2014 5:33,31503,31200,Registered
0h 12m 23s,7/1/2014 5:33,31113,31215,Registered
0h 11m 34s,7/1/2014 5:33,31113,31215,Registered
0h 23m 18s,7/1/2014 5:34,31313,31247,Registered
0h 4m 52s,7/1/2014 5:34,31609,31218,Registered
0h 7m 35s,7/1/2014 5:34,31229,31109,Registered
0h 2m 33s,7/1/2014 5:35,31051,31015,Registered
0h 11m 23s,7/1/2014 5:37,31602,31221,Registered
0h 24m 8s,7/1/2014 5:38,31711,31505,Registered
0h 22m 43s,7/1/2014 5:39,31312,31303,Registered
0h 3m 35s,7/1/2014 5:42,31224,31234,Registered
0h 8m 37s,7/1/2014 5:42,31214,31104,Registered
0h 6m 55s,7/1/2014 5:42,31632,31623,Registered
0h 2m 42s,7/1/2014 5:42,31110,31116,Registered
0h 5m 9s,7/1/2014 5:42,31265,31262,Registered
0h 5m 3s,7/1/2014 5:42,31243,31248,Registered
0h 9m 33s,7/1/2014 5:43,31245,31232,Registered
0h 5m 50s,7/1/2014 5:45,31612,31613,Registered
0h 1m 56s,7/1/2014 5:46,31116,31110,Registered
0h 12m 3s,7/1/2014 5:46,31105,31238,Registered
0h 13m 32s,7/1/2014 5:47,31232,31258,Registered
0h 3m 43s,7/1/2014 5:47,31237,31234,Registered
0h 13m 8s,7/1/2014 5:48,31608,31264,Registered
0h 12m 14s,7/1/2014 5:48,31608,31624,Registered
0h 12m 20s,7/1/2014 5:48,31306,31014,Registered
0h 5m 27s,7/1/2014 5:49,31118,31101,Registered
0h 3m 18s,7/1/2014 5:49,31107,31103,Registered
0h 12m 4s,7/1/2014 5:50,31262,31262,Registered
0h 9m 0s,7/1/2014 5:50,31266,31250,Registered
0h 9m 17s,7/1/2014 5:51,31241,31220,Registered
0h 8m 46s,7/1/2014 5:52,31615,31632,Registered
0h 15m 56s,7/1/2014 5:53,31505,31218,Registered
0h 23m 37s,7/1/2014 5:54,31612,31708,Registered
0h 2m 39s,7/1/2014 5:55,31608,31625,Registered
0h 17m 41s,7/1/2014 5:55,31618,31239,Registered
0h 3m 59s,7/1/2014 5:55,31229,31239,Registered
0h 8m 44s,7/1/2014 5:56,31244,31230,Registered
0h 13m 5s,7/1/2014 5:57,31107,31239,Registered
0h 16m 31s,7/1/2014 5:57,31609,31220,Registered
0h 14m 13s,7/1/2014 5:57,31247,31625,Registered
0h 11m 44s,7/1/2014 5:57,31600,31200,Registered
0h 10m 8s,7/1/2014 5:58,31602,31109,Registered
0h 6m 33s,7/1/2014 5:58,31213,31204,Registered
0h 7m 0s,7/1/2014 5:58,31204,31255,Casual
0h 6m 18s,7/1/2014 5:58,31637,31232,Registered
0h 1m 41s,7/1/2014 5:59,31232,31620,Registered
0h 2m 52s,7/1/2014 6:00,31119,31202,Registered
0h 5m 12s,7/1/2014 6:01,31109,31241,Registered
0h 7m 14s,7/1/2014 6:02,31623,31244,Registered
0h 15m 52s,7/1/2014 6:02,31612,31217,Registered
0h 3m 15s,7/1/2014 6:02,31506,31245,Registered
0h 5m 11s,7/1/2014 6:02,31042,31048,Registered
0h 18m 59s,7/1/2014 6:02,31303,32027,Registered
0h 8m 52s,7/1/2014 6:03,31623,31251,Registered
0h 7m 13s,7/1/2014 6:03,31400,31507,Registered
0h 9m 52s,7/1/2014 6:03,31623,31217,Casual
0h 2m 53s,7/1/2014 6:03,31631,31615,Registered
0h 8m 52s,7/1/2014 6:04,31624,31231,Registered
0h 2m 30s,7/1/2014 6:04,31631,31615,Registered
0h 15m 38s,7/1/2014 6:04,31270,31619,Registered
0h 12m 6s,7/1/2014 6:04,31503,31200,Registered
0h 33m 30s,7/1/2014 6:04,31708,31250,Registered
0h 11m 5s,7/1/2014 6:04,31101,31230,Registered
0h 12m 55s,7/1/2014 6:05,31631,31239,Registered
0h 6m 54s,7/1/2014 6:05,31257,31255,Registered
0h 8m 48s,7/1/2014 6:06,31214,31215,Casual
0h 3m 23s,7/1/2014 6:06,32037,32045,Registered
0h 14m 21s,7/1/2014 6:06,31234,31604,Casual
0h 8m 20s,7/1/2014 6:06,31624,31244,Registered
0h 14m 45s,7/1/2014 6:06,31401,31262,Registered
0h 4m 26s,7/1/2014 6:07,31214,31110,Registered
0h 2m 53s,7/1/2014 6:07,31631,31623,Registered
0h 5m 39s,7/1/2014 6:07,31217,31219,Registered
0h 3m 31s,7/1/2014 6:08,32028,32048,Registered
0h 5m 7s,7/1/2014 6:08,31618,31625,Registered
0h 11m 53s,7/1/2014 6:08,31512,31608,Registered
0h 7m 12s,7/1/2014 6:08,31047,31048,Registered
0h 3m 47s,7/1/2014 6:09,31214,31239,Registered
0h 8m 2s,7/1/2014 6:09,31214,31253,Registered
0h 3m 32s,7/1/2014 6:09,31266,31230,Registered
0h 14m 2s,7/1/2014 6:10,31102,31254,Registered
0h 4m 3s,7/1/2014 6:10,31115,31111,Registered
0h 9m 23s,7/1/2014 6:10,31238,31637,Registered
0h 18m 35s,7/1/2014 6:12,31310,31254,Registered
0h 47m 29s,7/1/2014 6:12,31303,31250,Registered
0h 5m 47s,7/1/2014 6:12,31405,31400,Registered
0h 6m 3s,7/1/2014 6:12,31257,31215,Registered
0h 6m 58s,7/1/2014 6:13,32011,31408,Registered
0h 20m 24s,7/1/2014 6:14,31617,31217,Registered
0h 3m 4s,7/1/2014 6:15,31608,31613,Registered
0h 16m 9s,7/1/2014 6:15,31307,31301,Registered
0h 11m 18s,7/1/2014 6:15,31503,31620,Registered
0h 3m 26s,7/1/2014 6:15,31613,31625,Registered
0h 9m 57s,7/1/2014 6:15,31229,31238,Registered
0h 18m 24s,7/1/2014 6:16,31027,31224,Registered
0h 9m 39s,7/1/2014 6:16,31623,31217,Registered
0h 4m 25s,7/1/2014 6:17,32026,31408,Registered
0h 5m 23s,7/1/2014 6:17,31218,31219,Registered
0h 23m 48s,7/1/2014 6:17,31616,31507,Registered
0h 16m 51s,7/1/2014 6:17,31202,31507,Registered
0h 12m 19s,7/1/2014 6:17,31623,31635,Registered
0h 13m 16s,7/1/2014 6:18,31623,31628,Registered
0h 16m 8s,7/1/2014 6:18,31246,31620,Registered
0h 2m 44s,7/1/2014 6:18,31116,31110,Registered
0h 4m 48s,7/1/2014 6:19,31201,31254,Registered
0h 6m 49s,7/1/2014 6:19,31110,31239,Registered
0h 4m 56s,7/1/2014 6:19,31102,31111,Registered
0h 2m 55s,7/1/2014 6:19,31604,31624,Registered
0h 12m 44s,7/1/2014 6:20,31406,31110,Registered
0h 4m 22s,7/1/2014 6:20,31262,31620,Registered
0h 25m 1s,7/1/2014 6:20,31708,31629,Registered
0h 8m 5s,7/1/2014 6:20,31214,31251,Registered
0h 7m 56s,7/1/2014 6:20,31623,31512,Registered
0h 18m 59s,7/1/2014 6:20,31113,31620,Registered
0h 11m 0s,7/1/2014 6:20,31624,31217,Registered
0h 2m 43s,7/1/2014 6:20,31113,31121,Registered
0h 6m 58s,7/1/2014 6:21,31220,31237,Casual
0h 8m 27s,7/1/2014 6:21,31241,31116,Casual
0h 6m 30s,7/1/2014 6:21,31619,31608,Registered
0h 10m 3s,7/1/2014 6:22,31612,31208,Registered
0h 19m 28s,7/1/2014 6:22,31116,31249,Registered
0h 12m 49s,7/1/2014 6:22,31623,31208,Registered
0h 3m 30s,7/1/2014 6:23,31201,31239,Registered
0h 4m 30s,7/1/2014 6:23,31214,31241,Registered
0h 21m 13s,7/1/2014 6:23,31207,31250,Registered
0h 10m 42s,7/1/2014 6:23,31610,31603,Registered
0h 13m 10s,7/1/2014 6:24,31102,31250,Registered
0h 5m 2s,7/1/2014 6:24,31638,31620,Registered
0h 7m 35s,7/1/2014 6:24,31244,31270,Registered
0h 4m 4s,7/1/2014 6:25,31270,31231,Registered
0h 9m 43s,7/1/2014 6:25,31042,31048,Casual
0h 55m 21s,7/1/2014 6:25,31711,31504,Registered
0h 22m 16s,7/1/2014 6:25,31014,31228,Registered
0h 6m 1s,7/1/2014 6:26,31117,31200,Registered
0h 11m 57s,7/1/2014 6:27,31628,31637,Registered
0h 8m 46s,7/1/2014 6:27,31218,31108,Registered
0h 24m 38s,7/1/2014 6:27,31623,31003,Registered
0h 18m 2s,7/1/2014 6:27,31602,31224,Registered
0h 21m 56s,7/1/2014 6:28,31619,31242,Registered
0h 4m 13s,7/1/2014 6:28,31101,31201,Registered
0h 20m 37s,7/1/2014 6:28,31258,31271,Casual
0h 10m 50s,7/1/2014 6:28,31307,31212,Registered
0h 11m 38s,7/1/2014 6:29,31602,31234,Registered
0h 4m 35s,7/1/2014 6:29,31270,31271,Registered
0h 6m 56s,7/1/2014 6:29,31201,31509,Registered
0h 14m 42s,7/1/2014 6:29,31400,31254,Registered
0h 8m 12s,7/1/2014 6:29,31623,31262,Registered
0h 4m 48s,7/1/2014 6:30,31629,31623,Registered
0h 10m 33s,7/1/2014 6:30,31624,31218,Registered
0h 6m 21s,7/1/2014 6:30,31243,31108,Registered
0h 0m 4s,7/1/2014 6:30,31635,31635,Registered
0h 18m 22s,7/1/2014 6:30,31101,31624,Registered
0h 3m 29s,7/1/2014 6:30,31623,31631,Casual
0h 5m 52s,7/1/2014 6:31,31229,31213,Registered
0h 4m 17s,7/1/2014 6:31,31222,31252,Registered
0h 11m 19s,7/1/2014 6:31,31244,31270,Registered
0h 3m 51s,7/1/2014 6:31,31628,31272,Registered
0h 0m 31s,7/1/2014 6:32,31614,31614,Registered
0h 3m 21s,7/1/2014 6:32,31251,31262,Registered
0h 10m 50s,7/1/2014 6:32,31246,31239,Registered
0h 15m 19s,7/1/2014 6:32,31603,31201,Registered
0h 8m 32s,7/1/2014 6:32,31101,31257,Registered
0h 7m 53s,7/1/2014 6:32,31264,31631,Registered
0h 21m 38s,7/1/2014 6:33,31614,31231,Registered
0h 22m 18s,7/1/2014 6:33,31110,31017,Registered
0h 6m 44s,7/1/2014 6:33,31110,31101,Registered
0h 4m 23s,7/1/2014 6:33,31266,31201,Registered
0h 27m 34s,7/1/2014 6:34,31030,31212,Registered
0h 7m 48s,7/1/2014 6:34,31115,31121,Registered
0h 27m 24s,7/1/2014 6:34,31007,31252,Registered
0h 8m 10s,7/1/2014 6:34,31218,31262,Registered
0h 5m 45s,7/1/2014 6:34,31200,31266,Registered
0h 11m 35s,7/1/2014 6:34,31623,31217,Registered
0h 8m 49s,7/1/2014 6:34,31623,31208,Registered
0h 6m 15s,7/1/2014 6:35,31266,31228,Casual
0h 4m 30s,7/1/2014 6:35,31201,31221,Registered
0h 4m 31s,7/1/2014 6:35,31117,31121,Registered
0h 11m 6s,7/1/2014 6:35,31405,31207,Registered
0h 1m 53s,7/1/2014 6:35,31307,31305,Registered
0h 11m 23s,7/1/2014 6:35,31218,31261,Registered
0h 6m 23s,7/1/2014 6:36,31621,31243,Registered
0h 2m 28s,7/1/2014 6:36,31039,31024,Registered
0h 11m 58s,7/1/2014 6:36,31623,31233,Registered
0h 8m 17s,7/1/2014 6:36,31611,31623,Registered
0h 1m 46s,7/1/2014 6:37,31004,31005,Registered
0h 7m 24s,7/1/2014 6:37,31114,31268,Registered
0h 10m 29s,7/1/2014 6:37,31101,31213,Registered
0h 17m 21s,7/1/2014 6:37,31614,31239,Registered
0h 16m 8s,7/1/2014 6:37,31269,31216,Registered
0h 13m 35s,7/1/2014 6:37,31207,31219,Registered
0h 8m 36s,7/1/2014 6:37,31632,31623,Registered
0h 12m 2s,7/1/2014 6:38,31612,31232,Registered
0h 4m 15s,7/1/2014 6:38,31631,31623,Registered
0h 8m 8s,7/1/2014 6:38,31103,31214,Registered
0h 11m 36s,7/1/2014 6:38,31266,31110,Registered
0h 9m 32s,7/1/2014 6:39,31616,31243,Registered
0h 22m 22s,7/1/2014 6:39,31632,31263,Registered
0h 52m 27s,7/1/2014 6:39,31024,31024,Casual
0h 9m 58s,7/1/2014 6:39,31307,31212,Registered
0h 5m 7s,7/1/2014 6:39,31201,31223,Registered
0h 8m 5s,7/1/2014 6:39,31114,31212,Registered
0h 4m 49s,7/1/2014 6:39,31241,31202,Registered
0h 5m 54s,7/1/2014 6:39,31103,31121,Registered
0h 9m 54s,7/1/2014 6:40,31603,31228,Registered
0h 17m 8s,7/1/2014 6:40,31020,31027,Casual
0h 3m 34s,7/1/2014 6:40,31229,31200,Registered
0h 2m 40s,7/1/2014 6:40,31007,31011,Registered
0h 0m 14s,7/1/2014 6:41,31516,31516,Registered
0h 12m 29s,7/1/2014 6:41,31612,31633,Registered
0h 4m 18s,7/1/2014 6:41,31229,31268,Registered
0h 4m 16s,7/1/2014 6:41,31114,31101,Registered
0h 10m 27s,7/1/2014 6:41,31212,31265,Registered
0h 5m 50s,7/1/2014 6:42,31271,31219,Registered
0h 15m 47s,7/1/2014 6:42,31622,31243,Registered
0h 13m 43s,7/1/2014 6:42,31249,31002,Registered
0h 21m 57s,7/1/2014 6:42,31404,31400,Registered
0h 7m 4s,7/1/2014 6:42,31223,31262,Registered
0h 8m 54s,7/1/2014 6:42,31102,31241,Registered
0h 6m 48s,7/1/2014 6:42,31114,31239,Registered
0h 21m 22s,7/1/2014 6:42,31500,31239,Registered
0h 9m 48s,7/1/2014 6:43,31111,31213,Registered
0h 18m 56s,7/1/2014 6:43,31306,31238,Registered
0h 30m 22s,7/1/2014 6:43,31074,31074,Registered
0h 5m 53s,7/1/2014 6:43,31102,31103,Registered
0h 5m 7s,7/1/2014 6:43,31105,31104,Registered
0h 7m 40s,7/1/2014 6:44,31030,31022,Registered
0h 18m 1s,7/1/2014 6:44,31115,31242,Registered
0h 3m 24s,7/1/2014 6:44,31613,31625,Registered
0h 16m 0s,7/1/2014 6:44,31110,31304,Casual
0h 10m 3s,7/1/2014 6:44,31222,31214,Casual
0h 5m 24s,7/1/2014 6:44,31612,31610,Registered
0h 3m 39s,7/1/2014 6:44,31009,31010,Registered
0h 15m 34s,7/1/2014 6:44,31509,31220,Registered
0h 7m 56s,7/1/2014 6:45,31631,31631,Registered
0h 15m 45s,7/1/2014 6:45,31117,31270,Registered
0h 14m 13s,7/1/2014 6:45,31404,31241,Registered
0h 3m 35s,7/1/2014 6:45,31251,31203,Registered
0h 11m 24s,7/1/2014 6:45,31229,31242,Registered
0h 11m 13s,7/1/2014 6:45,31117,31216,Registered
0h 2m 38s,7/1/2014 6:45,31214,31200,Registered
0h 52m 25s,7/1/2014 6:45,31041,31100,Registered
0h 18m 43s,7/1/2014 6:45,31511,31245,Registered
0h 13m 32s,7/1/2014 6:46,31300,32014,Registered
0h 13m 30s,7/1/2014 6:46,31103,31257,Registered
0h 9m 56s,7/1/2014 6:46,31108,31232,Registered
0h 5m 41s,7/1/2014 6:46,31007,31009,Registered
0h 9m 32s,7/1/2014 6:46,31270,31108,Registered
0h 5m 43s,7/1/2014 6:46,31212,31220,Registered
0h 29m 47s,7/1/2014 6:46,31628,31101,Casual
0h 18m 35s,7/1/2014 6:46,31614,31221,Registered
0h 4m 5s,7/1/2014 6:46,31229,31239,Registered
0h 13m 17s,7/1/2014 6:46,31636,31110,Registered
0h 6m 6s,7/1/2014 6:46,31513,31516,Registered
0h 7m 33s,7/1/2014 6:46,31617,31623,Registered
0h 5m 55s,7/1/2014 6:46,31203,31212,Registered
0h 4m 59s,7/1/2014 6:46,31214,31212,Registered
0h 23m 4s,7/1/2014 6:47,31051,31230,Registered
0h 8m 6s,7/1/2014 6:47,31105,31110,Registered
0h 2m 44s,7/1/2014 6:47,31003,31008,Registered
0h 9m 33s,7/1/2014 6:47,31630,31269,Registered
0h 12m 12s,7/1/2014 6:47,31630,31604,Registered
0h 24m 44s,7/1/2014 6:47,31404,32019,Registered
0h 10m 44s,7/1/2014 6:47,31300,31110,Registered
0h 8m 58s,7/1/2014 6:47,31229,31265,Registered
0h 17m 10s,7/1/2014 6:47,31245,31204,Registered
0h 11m 6s,7/1/2014 6:47,31630,31271,Registered
0h 3m 31s,7/1/2014 6:48,31265,31621,Registered
0h 20m 7s,7/1/2014 6:48,31500,31217,Registered
0h 6m 43s,7/1/2014 6:48,31625,31108,Registered
0h 23m 17s,7/1/2014 6:48,32010,31245,Registered
0h 7m 28s,7/1/2014 6:48,31108,31634,Casual
0h 8m 12s,7/1/2014 6:48,31268,31267,Registered
0h 25m 31s,7/1/2014 6:48,31504,31244,Casual
0h 25m 26s,7/1/2014 6:48,31504,31244,Registered
0h 7m 10s,7/1/2014 6:48,31626,31269,Registered
0h 4m 53s,7/1/2014 6:48,31266,31245,Registered
0h 4m 59s,7/1/2014 6:48,31506,31109,Registered
0h 3m 38s,7/1/2014 6:48,31100,31220,Registered
0h 20m 33s,7/1/2014 6:48,31631,31260,Registered
0h 36m 47s,7/1/2014 6:48,31248,31235,Casual
0h 25m 43s,7/1/2014 6:49,31207,31628,Registered
0h 6m 37s,7/1/2014 6:49,31110,31202,Registered
0h 5m 26s,7/1/2014 6:49,31218,31228,Registered
0h 25m 35s,7/1/2014 6:49,31207,31628,Registered
0h 13m 34s,7/1/2014 6:49,31114,31236,Registered
1h 11m 23s,7/1/2014 6:49,31243,31243,Casual
0h 22m 57s,7/1/2014 6:49,31606,31248,Casual
0h 4m 46s,7/1/2014 6:49,31214,31213,Registered
0h 7m 46s,7/1/2014 6:49,31221,31201,Registered
0h 6m 37s,7/1/2014 6:50,31610,31607,Registered
0h 15m 8s,7/1/2014 6:50,31308,31121,Registered
0h 7m 47s,7/1/2014 6:50,31116,31241,Registered
0h 6m 10s,7/1/2014 6:50,31229,31242,Registered
0h 13m 45s,7/1/2014 6:50,31121,31245,Registered
0h 10m 8s,7/1/2014 6:50,31017,31037,Registered
0h 3m 45s,7/1/2014 6:50,31229,31200,Registered
0h 24m 20s,7/1/2014 6:50,31014,31014,Casual
0h 3m 31s,7/1/2014 6:50,31612,31623,Registered
0h 9m 46s,7/1/2014 6:51,31248,31243,Registered
0h 10m 33s,7/1/2014 6:51,31218,31238,Registered
0h 2m 36s,7/1/2014 6:51,31212,31257,Registered
0h 11m 35s,7/1/2014 6:51,31015,31226,Registered
0h 3m 31s,7/1/2014 6:51,31266,31228,Registered
0h 3m 24s,7/1/2014 6:52,31263,31262,Registered
0h 13m 14s,7/1/2014 6:52,31622,31628,Registered
0h 9m 53s,7/1/2014 6:52,31266,31242,Registered
0h 9m 6s,7/1/2014 6:52,31051,31225,Registered
0h 11m 26s,7/1/2014 6:52,31600,31222,Registered
0h 16m 14s,7/1/2014 6:52,31033,31066,Registered
0h 10m 15s,7/1/2014 6:52,31226,31250,Registered
0h 11m 6s,7/1/2014 6:52,31103,31212,Registered
0h 4m 7s,7/1/2014 6:53,31625,31613,Registered
0h 4m 31s,7/1/2014 6:53,31229,31268,Registered
0h 11m 31s,7/1/2014 6:53,31218,31254,Registered
0h 7m 11s,7/1/2014 6:53,31243,31604,Registered
0h 2m 13s,7/1/2014 6:53,31105,31103,Registered
0h 5m 7s,7/1/2014 6:53,31611,31615,Registered
0h 9m 48s,7/1/2014 6:53,31503,31265,Registered
0h 6m 51s,7/1/2014 6:53,31611,31623,Registered
0h 5m 32s,7/1/2014 6:53,31031,31077,Registered
0h 21m 16s,7/1/2014 6:53,31003,31217,Casual
0h 6m 0s,7/1/2014 6:54,31214,31241,Registered
0h 8m 15s,7/1/2014 6:54,31506,31251,Registered
0h 6m 58s,7/1/2014 6:54,31229,31255,Registered
0h 5m 55s,7/1/2014 6:54,31605,31208,Registered
0h 24m 59s,7/1/2014 6:54,31108,31221,Registered
0h 15m 14s,7/1/2014 6:54,31229,31600,Registered
0h 5m 39s,7/1/2014 6:54,31613,31208,Registered
0h 14m 4s,7/1/2014 6:54,31201,31621,Registered
0h 5m 35s,7/1/2014 6:54,31229,31213,Registered
0h 9m 35s,7/1/2014 6:55,31101,31231,Registered
0h 4m 25s,7/1/2014 6:55,31003,31009,Registered
0h 22m 24s,7/1/2014 6:55,31104,31232,Registered
0h 15m 10s,7/1/2014 6:55,31117,31232,Registered
0h 22m 20s,7/1/2014 6:55,31104,31232,Registered
0h 17m 50s,7/1/2014 6:55,31054,31017,Registered
0h 14m 2s,7/1/2014 6:55,31109,31218,Registered
0h 37m 25s,7/1/2014 6:55,32025,32025,Registered
0h 3m 9s,7/1/2014 6:56,31107,31103,Registered
