"source","id","title","description","manufacturer","price"
"amazon","b0007prnjo","paper art: gift wrapping","how many times have you heard that it's the thought that counts this is especially true when it comes to giftseven a simple gift thoughtfully presented can bring special joy to the recipient as well as to the giver. this cd is a beautiful guide to gift wrapping. what you need to know about paper and fabric the different tools for special effects basic and advanced techniques for boxes cylinders baskets and bags system requirements for windows windows 98 me 2000 xp 386 or faster 8 mb ram 640x480 monitor 256 colors (16-bit color or better recommended) soundblaster-compatible sound card & speakers 2x cd-rom drive system requirements for macintosh mac os 7.09.2 os x classic mode 8 mb ram 640x480 monitor 256 colors (thousands of colors or better recommended) 2x cd-rom drive","arc media inc.",0
"amazon","b000aazr5i","nfs maestro solo 2006 1u","- marketing information: nfs maestro solo is the de facto standard for network file system protocol on pc and it supports all the latest nfs technologies including nfsv4 nfs over tcp and webnfs. the advanced nfs features strong security seamless integration with the windows operating systems and comprehensive support of enterprise directory services make nfs maestro solo the most advanced and secured pc nfs client. it also provides bi-directional file and printer access between windows and nfs-enabled hosts. product information - software sub type: emulation - software name: nfs maestro solo 2006 - complete product - features and benefits: - support operations in ipv6 networking - new unicode support - support for setuid and setgid - connection-specific rpcsec_gss type service - symbolic links creation nfs support: - supports nfs version 2 3 and 4 (rfc 1094 rfc1813 rfc3530) - both client and server implementations - kernel mode implementation - native 32-bit and 64-bit implementation - supports operation in ipv6 networks - supports setuid and setgid - supports webnfs (rfc2054) and nfs over tcp - supports 32-bit file locking - hard and soft mount - supports microsoft unc - unlimited remote drives and printers - cache manager - device-less connection support - creates and supports symbolic links - nfsv4 compatible command line applications directory services support: - supports nis nis+ ldap and microsoft active directory - support sc","hummingbird communications",309.56
"amazon","b000bhl1r8","microsoft sql server standard edition 2005 64 bit cd/dvd 5 client","sql server is a comprehensive integrated end-to-end data solution that empowers users across your organization by providing them with a secure reliable and productive platform for enterprise data and business intelligence (bi) applications. sql server 2005 delivers powerful familiar tools to information technology professionals as well as to information workers reducing the complexity of creating deploying managing and using enterprise data and analytical applications on platforms ranging from mobile devices to enterprise data systems. through a comprehensive feature set interoperability with existing systems and automation of routine tasks sql server 2005 provides a complete data solution for enterprises of all sizes.","microsoft",1849
"amazon","b000i82j80","spy sweeper spanish",,"webroot software",29.95
"amazon","b00006hmwc","domino designer/developer v5.0","reference domino designer/developer r5 doc pack includes the following titles: application development with domino designer (intermediate-advanced) 536 pages it explains building applications creating databases using forms fields views folders navi","lotus development",95
"amazon","b000in6u62","omnioutliner professional 3.0",,"csdc",69.95
"amazon","b000083k56","compaq comp. secure path v3.0c-netware wrkgrp 50 lic ( 231327-b22 )",,"compaq computer",0
"amazon","b00006hvvo","upg sgms 1000 incremental node","today enterprises and service providers face increasing security challenges in their distributed networks from security and virus attacks to enforcing security policies. as a distributed network grows and branches into multiple subnetworks linked by the internet so does the complexity of managing security appliances security policies and updates. a single flaw in security implementation at any point in the network can expose the entire infrastructure allowing malicious access to important data and files with severe consequences. managing security for distributed networks on a site-by-site basis is time consuming expensive and unreliable putting a big strain on already limited resources. sonicwall global management system (sonicwall gms) standard edition enables distributed enterprises and service providers to manage thousands of sonicwall internet security appliances from a central location with a powerful flexible and intuitive application. sonicwall gms delivers a cost-effective global security management solution that reduces staffing requirements speeds up deployment and lowers the cost of managing security services. sonicwall gms gives administrators the integrated tools to manage all security policies and services throughout a large-scale multiple policy enterprise or service provider environment. administrators can easily configure sonicwall firewall settings deploy vpn to any user and add sonicwall upgrade and subscription services such as gateway anti-virus anti-spyware and intrusion prevention service complete anti-virus and content filtering service with the click of a button.","sonic systems inc.",0
"amazon","b0000ycfcw","the human body","in topics presents the human body you'll uncover the deepest mysteries and complexities of the human form in this complete introduction to anatomy and physiology.","topics entertainment",19.99
"amazon","b00066dd5m","school zone pencil-pal software big phonics (cd-rom & book)",,"school zone interactive",0
"amazon","b00002sac9","millie's math house ages 3-7 (win/mac)","now featuring addition subtraction and counting to 30 the award-winning millie's math house has been enhanced to offer even more learning. in seven activities children explore numbers shapes sizes patterns addition and subtraction as they build mouse houses create wacky bugs count animated critters make jellybean cookies and answer math challenges posed by dorothy the duck. use the spanish language version for esl bilingual and spanish language instruction.","ibm (aap misc parts)",0
"amazon","b000bcz8ng","world book encyclopedia 2006","the world book encyclopedia 2006 is a truly student-friendly cd reference resource. it's been thoroughly updated with thousands of revised articles and hundreds of new entries maps tables and illustrations. superior navigation with clear labeling and easily accessible entries helps young scholars retrieve crucial information. includes: 56 animations and simulations 2 241 tables and timelines 10 643 photo and illustrations 640 new illustrations and maps 267 new articles 42 new table 4 000+ newly revised entries","topics entertainment",19.99
"amazon","b000fm18vi","musicalis guitar workshop","chord display / create your own chords / digital tuner / charts / scales / complete reference from beginner to advanced","global software publishing",9.99
"amazon","b00009apna","the printshop 20 professional publisher","the complete and easy publishing solution for your home orbusinessproduct informationentrust your business and personal publications to the renowned quality of theprint shop. backed by two decades of industry leadership this versatile programis an essenti","broderbund",69.99
"amazon","b0009rgzgm","data protection suite","if you use a computer you're at risk for system crashes file corruption and a host of other headaches. backup my pc is trusted to preserve protect backup and archive your digital media and critical data quickly and easily eliminating all of the guesswork. file backup software featuring award winning state-of-the-art technology and a straightforward intuitive interface. this powerful file backup software makes it easy to prevent data disasters and restore your files in the event of a system crash. plus full password protection means you're always in control.","stomp inc",69.99
"amazon","b000ap2wyw","kids power fun for girls",,"topics entertainment",19.99
"amazon","b000o24l3q","adobe premiere pro cs3 upgrade","note: this is the upgrade version of adobe premiere pro cs3. tell your story with maximum impact using adobe premiere pro cs3 upgrade software the start-to-finish solution for efficient video production that now includes adobe encore cs3 and adobe onlocation cs3* (windows only) formerly the award-winning dv rack hd. save time from on-set capture using adobe onlocation through to output expand your creative options via integration with adobe after effects cs3 professional and photoshop and deliver your content to dvd blu-ray disc the web and mobile devices. the powerful editing finishing and delivery tools in adobe premiere pro are now available on both mac and windows operating systems. maintain control of your media with multiple project panels customizable panel display settings and instant file searches. export adobe encore cs3 projects as dvd blu-ray disc or flash. when you export as flash encore generates html flv and swf files that provide dvd-style chapter selection playback and interactivity through the flash player. capture edit and deliver to video dvd and the web adobe premiere pro cs3 software available for both mac and windows streamlines the entire video production process from direct-to-disk recording through editing to final delivery for tape disc the web and mobile devices. adobe premiere pro cs3 redefines productivity and flexibility for capturing editing and delivering video content. video professionals want to concentrate on storytelling--not on the nuts and bolts of production--and adobe premiere pro cs3 frees you to focus on telling your story. maximize image quality and work faster during shoots by using adobe onlocation cs3 software (requires windows and boot camp for mac ) included with adobe premiere pro to calibrate cameras monitor video signals and record directly to disk--all during the shoot. edit every major video format from dv to hd and beyond with adobe premiere pro cs3. improve efficiency and creativity with new workflow and new visual effects features. save time and expand creative options through tight integration with other adobe software including adobe after effects cs3 and adobe photoshop cs3. adobe encore cs3 software now included with adobe premiere pro cs3 lets you author once and then output to blu-ray disc dvd and flash swf for the web. adobe premiere pro supports additional delivery platforms including flash and mobile devices letting you reach the widest audience possible. audience benefit corporate and government video producers--adobe premiere pro cs3 provides the tools you need to ensure excellent production values while working quickly to stay on schedule. edit with precise control add stunning effects and move content smoothly to adobe after effects cs3 professional and photoshop for even more creative control. streamline the review process with adobe clip notes and output to multiple formats quickly and easily to reach more people everywhere. adobe premiere pro cs3 lets you communicate with high-quality video and imagery even with tight budgets and looming deadlines. event videographers--small crews and tight deadlines mean you need to work fast even while clients demand higher and higher production values. adobe premiere pro cs3 lets you capture events directly to disc with included adobe onlocation cs3* (windows only); work fast with precision editing tools including support for editing multicam shots; create compelling effects via tight integration with adobe after effects cs3 professional and photoshop cs3; and use the included copy of adobe encore cs3 to deliver content however your clients need it whether on dvd blu-ray disc the web or mobile devices. independent filmmakers--your passion is storytelling. your challenge is finding the right software to handle every aspect of the production process and deliver hollywood-quality imagery. adobe premiere pro cs3 meets this need with a complete toolset for capturing footage direct-to-disc editing imagery and creating titles in post-production producing dvds and delivering web-ready content to promote your films on the internet. and with the included video workshop and training materials you'll have help through every stage of production. post-production boutiques--enjoy advanced editing tools as well as the uncompromised image quality and real-time performance you need in professional broadcast and film post-production. work with all major formats enjoy powerful effects and media management tools get unparalleled integration with adobe after effects cs3 professional and photoshop software and increase efficiency with workflow enhancements such as adobe clip notes. with adobe premiere pro cs3 and adobe encore cs3 you can deliver your work in the format your client needs from adobe flash video through dvd and blu-ray disc to uncompressed hd. educators and students--adobe premiere pro cs3 offers a complete set of post-production tools that let you handle all aspects of filmmaking and post-production cost effectively from capturing and editing footage to creating titles dvds and promotional materials such as websites that feature video content. use flexible tools to express your creativity work with any file format on both windows and macintosh platforms and deliver your work across multiple media. what's new in adobe premiere pro cs3k dvd and blu-ray disc output with included adobe encore cs3 create dvd and blu-ray disc content with adobe encore cs3 software now included with adobe premiere pro cs3. work with the same encore authoring interface and features used to create standard-definition dvds. author once deliver twice: automatically convert your high-definition blu-ray disc projects to standard-definition dvds. high-quality slow motion with time remapping create dramatic slow- and fast-motion effects without exporting clips to another application. with precise keyframe control real-time feedback and excellent quality from advanced frame blending you can slow things down without compromising quality. or generate even better in-between frames through pixel-motion analysis with the timewarp effect. direct-to-disc recording with included adobe onlocation cs3* (windows only) save tape and time by eliminating capture from your production process. record sd and hd video directly to disc using adobe onlocation cs3 software included with adobe premiere pro cs3. instantly review each shot without shuttling tape. adobe onlocation automatically detects and flags problems to provide the best results. adobe encore cs3 projects for the web with one click easily create adobe flash versions of your dvd and blu-ray disc projects for the web. use adobe encore cs3 to create flash content complete with dvd interactivity and menus without learning flash programming. multiple project windows with smart file search find files faster with search tools that instantly update their results list as you type. sort and organize assets into multiple project windows each with its own graphical or text view setting. display and handle media files making project management easier and more efficient. professional on-set monitoring with adobe onlocation cs3 maximize camera image quality during shoots by using adobe onlocation cs3 to quickly calibrate your camera check levels and monitor your signal. use simple tools that function like their hardware equivalents to get results quickly and easily. the virtual reference monitor waveform monitor vectorscope and audio spectrum analyzer help you avoid problems and improve quality on location. create stunning slow-motion and other retiming effects directly in the timeline by setting and moving time remapping keyframe markers. improve the look of your video with the three-way color corrector and the other precision color-correction tools in adobe premiere pro. improved editing efficiency work faster with powerful and flexible editing tools. play video with nested audio sequences in real time without rendering. replace any clip in the timeline with a new clip while preserving the replaced clip's editing attributes and settings. use shortcuts to switch between workspace panels and save time. output for mobile devices make your video viewable on the latest delivery platforms. encode video for delivery to cell phones and other mobile devices and simulate playback on those devices to check video quality. download profile updates to simulate the latest devices. flash video export with markers converted to cue points encode video and audio for flash projects and web playback with direct flash video (flv) export. adobe premiere pro cs3 timeline markers become flash cue points that trigger interactivity and navigation. create flash video with ease. improve efficiency and incorporate a tapeless workflow during shoots by using adobe onlocation cs3* to monitor your camera's video signal and record it directly to a computer hard drive. the multi-camera window makes editing action recorded with several cameras or in multiple takes as easy as pointing and clicking. additional features efficient tools for creative editing create high-quality visual and editorial effects directly within the editing timeline. generate slow motion and other time-remapping effects with precise keyframe control and real-time feedback. add color correction lighting and other effects audio filters and more with fast flexible and built-in tools. edit footage from multicam shoots with ease and precision. comprehensive video format compatibility work with the formats you want. edit all standard- or high-definition formats from dv through hdv to hd and beyond (some formats may require additional hardware). broad range of supporting hardware and software for mac and windows choose from a wide range of mac and windows workstations and capture cards to build the editing system that exactly meets your needs and budget. enhance your system with additional plug-ins including many from adobe after effects software. dvd and blu-ray disc output with included adobe encore cs3 create dvd and blu-ray disc content with adobe encore cs3 software now included with adobe premiere pro cs3. work with the same encore authoring interface and features used to create standard-definition dvds. author once deliver twice: automatically convert your high-definition blu-ray disc projects to standard-definition dvds. superior integration with other adobe applications make the leading still and motion graphics applications adobe photoshop and after effects part of an efficient post-production workflow. import and animate photoshop layers. automatically create photoshop files that match the current project's frame size and aspect ratio. drag and drop or copy and paste clips and timelines between adobe premiere pro cs3 and after effects cs3 professional. direct-to-disc recording with included adobe onlocation cs3* (windows only) save tape and time by eliminating capture from your production process. record sd and hd video directly to disc using adobe onlocation cs3 software included with adobe premiere pro cs3. instantly review each shot without shuttling tape. adobe onlocation automatically detects and flags problems to provide the best results. professional on-set monitoring with adobe onlocation cs3 maximize camera image quality during shoots by using adobe onlocation cs3 to quickly calibrate your camera check levels and monitor your signal. use simple tools that function like their hardware equivalents to get results quickly and easily. the virtual reference monitor waveform monitor vectorscope and audio spectrum analyzer help you avoid problems and improve quality on location. delivery to the web and mobile devices make your video viewable on today's and tomorrow's delivery platforms. export as adobe flash video (flv). easily convert dvd projects complete with menus to flash swf files for web playback. encode for delivery to cell phones and other mobile devices and emulate playback on those devices to check playback quality. accelerated client review and approval with adobe clip notes expedite review cycles and avoid miscommunication with adobe clip notes. embed video into an adobe pdf file e-mail the file to your client to review and add timecode-specific comments and then view comments mapped to the adobe premiere pro cs3 timeline. multicam editing view multiple video tracks from a multiple-camera shoot easily sync via timecode and edit by switching between tracks in real time. rerecord sections of your edit make fine adjustments using all the standard timeline editing tools and easily adjust color correction across multiple shots even after editing. accelerated client review and approval with adobe clip notes expedite review cycles and avoid miscommunication with adobe clip notes. embed video into an adobe pdf file e-mail the file to your client to review and add timecode-specific comments and then view comments mapped to the adobe premiere pro cs3 timeline. mac os x compatibility use adobe premiere pro cs3 on the latest intel based macintosh computers. aaf and edl import/export exchange project metadata with major video film and audio applications via industry-standard advanced authoring format (aaf) aaf with edit protocol and edit decision list (edl) files (aaf import/export for windows only). comprehensive vtr support control video decks through rs-422 and rs-232 serial protocols or firewire for precise batch capturing recapturing and insert editing. file management with adobe bridge work more efficiently by using adobe bridge cs3 to search for and access your project files preview and apply settings run batch processes and tag assets with xmp metadata. * for macintosh users adobe onlocation requires boot camp and windows (purchased separately) or a separate windows based computer.","adobe",299
"amazon","b0009jlux8","i copy dvds 2 professional edition","icopydvds2 pro edition contains all you need to copy a dvd movie quickly and easily. the interface is simple and direct just put in your movie press copy and icopydvds2 does the rest! our unique auto fit and auto burn technology creates the highest quality movie possible on a single disc every time!","me too software",69.99
"amazon","b000cszg2m","gen-x media made easy vol. 3","media made easy vol. 3 is your front-row ticket to enjoying the best of today's entertainment! powerful and easy to use it contains 8 full programs from some of the biggest names in entertainment software: roxio pinnacle steinberg & more. create record edit remix capture and restore -- media made easy vol. 3 does it all.","gen-x",49.95
"amazon","b00023azve","family tree maker 11.2 collector's edition","whether you're an avid family historian or a complete novice family tree maker collectible edition version 11.2 will help you create detailed family trees books web sites reports and more. fill them with personal photos and family memorabilia. record your information now so you can pass on a treasured legacy in the future!","encore",109.95
"amazon","b000ndicuy","adobe fireworks cs3 [mac]","accelerate web design and development with adobe fireworks cs3 software the ideal tool for creating and optimizing images for the web and rapidly prototyping websites and web applications. fireworks cs3 offers the flexibility to edit both vector and bitmap images a common library of prebuilt assets and timesaving integration with adobe photoshop cs3 adobe illustrator cs3 adobe dreamweaver cs3 and adobe flash cs3 professional software. new adobe fireworks cs3 dramatically accelerates web prototyping and web image design. rapidly prototype and design for the web new adobe fireworks cs3 dramatically accelerates web prototyping and web image design. enjoy timesaving enhancements new prototyping tools and impressive integration with adobe photoshop cs3 adobe illustrator cs3 adobe dreamweaver cs3 adobe flash cs3 professional and adobe flex software. new in fireworks cs3 new macintosh and windows os support design and develop on the platform of your choice. adobe fireworks cs3 is available for powerpc and intel based macintosh computers as well as windows xp and windows vista systems. efficient adobe photoshop and adobe illustrator integration import photoshop (psd) files while retaining hierarchical layers layer effects and blend modes. save fireworks (png) files back into photoshop (psd) format. import illustrator (ai) files while retaining graphic integrity including layer group and color information. hierarchical layer organization organize and manage your prototypes with a new hierarchical layer structure which is similar to the one in adobe photoshop that enables you to easily organize web layers and pages. intelligent scaling intelligently scale buttons and graphic symbols (in vector or bitmap) with 9-slice scaling. combine 9-slice scaling with the new auto shape library to accelerate website and application prototyping. multipage support use the new pages panel to create multiple pages in a single document (png file) and share layers across multiple pages. each page can contain its own slices layers frames animations and canvas settings making it easy to simulate website flow in a prototype. ria layout prototyping prototype layouts for rich internet applications in fireworks and then export them directly to adobe flex while retaining absolute positioning and styling. customizable assets jump-start your prototyping with a common library of frequently used graphic symbols text symbols and animations. use the new symbol properties panel to customize symbol attributes. adobe photoshop blend modes customize the appearance of your images with seven popular blend modes from adobe photoshop: dissolve linear burn linear dodge vivid light linear light pin light and hard mix. adobe bridge integration enjoy a more efficient workflow with adobe bridge which offers central access to project files and batch processing that can include multiple adobe applications. streamlined adobe dreamweaver and adobe flash integration copy any object in fireworks cs3 and paste it directly into dreamweaver cs3. create pop-up menus that can be saved as css and html. export fireworks (png) files directly to flash cs3 while maintaining vectors bitmaps animations and multistates and then edit in flash cs3. additional features vector and bitmap editing create and edit vector and bitmap images and import and edit native adobe photoshop and adobe illustrator files. image optimization optimize graphics for virtually any delivery scenario with preview cross-platform gamma preview selective jpeg compression and a wide range of export controls. filter effects apply lighting effects shadow effects styles and blend modes including seven new blend modes from photoshop to add depth and character to text and symbols. common library jump-start your prototyping with a common library of graphic symbols text symbols and animations frequently used in web applications forms interfaces and websites.","adobe",299
"amazon","b0000ycfdq","dinosaurs",,"topics entertainment",19.99
"amazon","b0007yepy6","instant home design 3.0 [lb]","software suite helps you create customized before & after visuals of your home renovation in both photographic and cad (computer aided design)","topics entertainment",19.99
"amazon","b000cpmtwk","x-oom internet movies 2","internet movies 2 lets you take advantage of the internet's gift to film fans. using it you can create regular dvds and video cds from your growing collection of divx xvid real and other movie files then watch them on your big screen tv using any standard dvd player!","x-oom",0
"amazon","b0002qnd2y","form workshop 1200","customize your forms to your specific needs product information the complete solution for all of your business and personal form needs. selectfrom 1200 essential forms and letters customize the layout text and graphics or use the full suite of tools to create your own documents from scratch. a new simplified user interface quickly guides you though all of the highly advancedfeatures.&nbs","valusoft",29.99
"amazon","b000h22pg8","the print shop pro publisher 22 deluxe [dvd]","the print shop pro publisher deluxe edition 22 gives you all the tools you need to design and publish professional business materials creative projects and web pages. a wealth of photo manipulation tools at your fingertips helps you get closer to the final product. see all that you can do with pro publisher deluxe. with pro publisher deluxe you can express your creativity promote your business design your own web site and much more all from one place. your complete source for designing powerful publications for all of your home and business needs pro publisher deluxe lets you create banners letterhead business cards postcards and more. find out which version of the print shop is right for you. 22 000 templates and 400 000 images at your fingertips with 22 000 pre-designed project templates to choose from it's easy to start your next project from scratch. pro publisher deluxe features flexible design and layout tools more than 850 fonts a complete logo creator and several professional quality printing options that will help you tailor your projects to your precise needs. you can design layouts for multimedia presentations letterhead business cards greeting cards forms multi-page brochures stationery sets cd/dvd labels newsletters and much more. a multi-page booklet template helps you create exciting projects including programs menus informational pamphlets brochures and more. you can even turn your family's history into a work of art with the unique and fun-to-use family tree templates! pro publisher deluxe offers a wider variety of paper sizes with several new templates including 4x6 inches for notecards and postcard 11x17 inch pages and square 6x6 8x8 and 12x12 page sizes. when it's time to add the perfect image to your project pro publisher deluxe features a gallery for more than 400 000 premium images (including 5 000 getty images) that include photos graphics illustrations web art backgrounds and textures seasonal images and more. you'll always have the ideal template and the perfect image to complete your project. the program also includes 3 100 sentiments so you'll have the precise tools to add the perfect phrase or quote to your design. an advanced search function lets you conveniently search for a project template or image by type tone category or keyword. when you purchase pro publisher deluxe you also receive a full year of free access to the million image club where you will find even more images to complement your designs. advanced design and print tools a convenient pdf tool lets you easily convert your projects and images into pdf files for easy sharing while maintaining high resolution and color accuracy. you also have access to tools that let you create sophisticated web pages with no html coding skills required. simple drag-and-drop capabilities allow you to move images and text to where you want them. some of the advanced html features include dynamic web templates rollover effects hotspots online form creation and spell check. professional graphic tools give you the power to manipulate your images so that you can take your business communications to the next level. with pro publisher deluxe you'll master tools that let you create and edit vector art create 3-d shapes add 3-d texture effects and even draw using pastel charcoal and watercolor. and when it's time to print pro publisher deluxe offers the advantages of several professional print options such as borderless printing and printing directly on printable cds/dvds. you can print multiple labels with a variety of images or text simultaneously on one sheet -- a feature that's perfect for mass mailings or customizing a variety of labels with ease. you can even personalize your ipod skin with your favorite photo pictures of your friends a cool design or more. these are only some of the many ways that pro publisher deluxe can help you business grow and your personal projects thrive. the possibilities are endless; the only limit with pro publisher deluxe is your imagination.","encore",99.99
"amazon","b0009h9q1i","stomp inc recover lost data 2005","did your finger ever slip on the keyboard accidentally erasing an important file? this handy software application helps you get that file back. recover lost data gives you the power to restore your lost files with an easy-to-use and intuitive graphical recovery wizard. recover lost data runs directly from a cd or install to to the hard drive. recover lost data's powerful recovery tools find and restore deleted lost or damaged files & folders caused from accidental deletion system crashes power failures viruses corrupted operating systems damaged or deleted partitions hacker attacks formatted hard drives and more. with this program pre-installed in your hard drive it helps retrieve lost data and files that you might have accidentally deleted. can often recover your data when the drive is no longer recognized by windows recovers individual email messages from microsoft outlook outlook express netscape and eudora email clients sophisticated advanced recovery mode can recover data from damaged drives/media works with fat16 fat32 and ntfs file systems supports most ide serial ata scsi raid usb and firewire drives run recoverlost data directly from cd - no installation necessary! flexible search enables you to find individual files that have been lost or accidentally erased analyzes and searches disk clusters to detect any file systems from lost drives and partitions","stomp inc",39.95
"amazon","b000cqyclu","my first bible stories","combines exciting multimedia technology with great story-telling traditions that have brought bible stories to life for thousands of years. teaches kids reinforces and tests their general knowledge of the bible.","dorling kindersley multimedia (dk)",29.95
"amazon","b0001db6i6","the big mix (mac)","the big mix - it's the all-in-one tool for home musicians of any skill level. turn your home recording into studio-quality sound and make music like never before. whether you're created orchestral pieces or hypnotic dance tracks you'll find everything you need here! spark le is real processing for people who want pristine sounds from their home audio -- features tools like tempo delay a one-band eq with selectable notch low pass high pass parametric types of equalization & more","aladdin",59.99
"amazon","b000bl40dg","x-oom movie clone 3 gold","copy complete original dvds just your favorite scenes or remove extras you don't want. featuring a user-friendly interface and unique compression technology x-oom movie clone 3 gold rapidly burns flawless copies of dvds and cds. turn your divx collection & avi movie files into dvds and watch them on your dvd player. of course you can take your favorite movie with you on your pda. thanks to x-oom movie clone 3 gold's versatile conversion features you can turn any dvd into any format you like f.e. divx® avi wmv real® or even into vcds or svcds.whatever you copy you'll be thrilled with the backup speed and quality tristep technology delivers extremely fast backups - entire dvds copied in minutes! complete 1 - 1 dvd backups or movie only mode including selected languages simultaneous copy and burn operations powerful transcoding technology allows you to fit larger dvd movies (9 gb) onto standard blank dvds (4.7 gb) automatic re-authoring features allow you to split backup copies across more than one disk transfer a dvd movie to vcd or svcd 1 - 1 audio copying for perfect sound quality including stereo 5.1 surround dts and dolby digital highspeed conversion of dvds into divx- avi- wmv- or even cell phone-fileformat (new!) highspeed conversion of any divx- avi- wmv-/real-movie file into dvd or svcd format (new!) intuitive user-friendly interface makes operation simple backups will play in any standard dvd player","x-oom",0
